variable_name,display_name,source_section,cbms_item,practical_type,code,label,source_document,source_page,mapping_basis,observed_in_current_raw,review_status,notes
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,A02,coded_category,01,Head,2022 CBMS Household Profile Questionnaire,2,official_questionnaire,Yes,verified,
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,A02,coded_category,02,Spouse,2022 CBMS Household Profile Questionnaire,2,official_questionnaire,Yes,verified,
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,A02,coded_category,03,Son,2022 CBMS Household Profile Questionnaire,2,official_questionnaire,Yes,verified,
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,A02,coded_category,04,Daughter,2022 CBMS Household Profile Questionnaire,2,official_questionnaire,Yes,verified,
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,A02,coded_category,05,Stepson,2022 CBMS Household Profile Questionnaire,2,official_questionnaire,No,verified,
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,A02,coded_category,06,Stepdaughter,2022 CBMS Household Profile Questionnaire,2,official_questionnaire,No,verified,
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,A02,coded_category,07,Son-in-Law,2022 CBMS Household Profile Questionnaire,2,official_questionnaire,No,verified,
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,A02,coded_category,08,Daughter-in-Law,2022 CBMS Household Profile Questionnaire,2,official_questionnaire,No,verified,
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,A02,coded_category,09,Grandson,2022 CBMS Household Profile Questionnaire,2,official_questionnaire,No,verified,
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,A02,coded_category,10,Granddaughter,2022 CBMS Household Profile Questionnaire,2,official_questionnaire,No,verified,
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,A02,coded_category,11,Father,2022 CBMS Household Profile Questionnaire,2,official_questionnaire,Yes,verified,
A02_RELATION_TO_HH_HEAD,Relationship to the household head,A,A02,coded_category,12,Mother,2022 CBMS Household Profile Questionnaire,2,official_questionnaire,Yes,verified,
