variable_name,display_name,source_section,source_record,source_file,cbms_item,metadata_data_type,metadata_length,metadata_decimal,metadata_scale,practical_type,needs_translation,needs_member_resolution,display_handling,review_status,notes
J01_WORRIED,Worried About Not Having Enough Food to Eat,J,SECTION_J,synthetic_household_final(4).csv,J01,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
J02_NOT_EATEN_HEALTHY,Unable to Eat Healthy and Nutritious Food,J,SECTION_J,synthetic_household_final(4).csv,J02,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
J03_ATE_FEW_FOOD,Ate Only a Few Kinds of Food,J,SECTION_J,synthetic_household_final(4).csv,J03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
J04_SKIPPED_MEAL,Had to Skip a Meal,J,SECTION_J,synthetic_household_final(4).csv,J04,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
J05_ATE_LESS,Ate Less Than They Thought They Should,J,SECTION_J,synthetic_household_final(4).csv,J05,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
J06_RAN_OUT_OF_FOOD,Ran Out of Food,J,SECTION_J,synthetic_household_final(4).csv,J06,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
J07_HUNGRY,Hungry but Did Not Eat,J,SECTION_J,synthetic_household_final(4).csv,J07,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
J08_NOT_EATEN_WHOLE_DAY,Did Not Eat for a Whole Day during the Past 12 Months,J,SECTION_J,synthetic_household_final(4).csv,J08,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
J09_NOT_EATEN_WHOLE_DAY_PAST_3_MONTHS,Did Not Eat for a Whole Day during the Past 3 Months,J,SECTION_J,synthetic_household_final(4).csv,J09,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K03_C_SAVING_FOR_EMERGENCIES,Saving for emergencies,K,SECTION_K,synthetic_household_final(4).csv,K03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
K03_D_SAVING_FOR_BUSINESS,Saving for opening or expansion of business,K,SECTION_K,synthetic_household_final(4).csv,K03,Numeric,1,0,Nominal,yes_no_code,Yes,No,codebook_lookup,classified,Use the official choices for this variable. Some Yes/No-style CBMS questions also allow codes such as Don't Know or Prefer Not to Answer.
